depth=1, S_A=9.61027951144475e-16, chi=-1
depth=2, S_A=0.029840751357954703, chi=-1
depth=3, S_A=0.10496205663201638, chi=-1
depth=4, S_A=0.08838022764806956, chi=-1
depth=5, S_A=0.16545359555196332, chi=-1
depth=6, S_A=0.232132676595028, chi=-1
depth=7, S_A=0.15216552739807337, chi=-1
depth=8, S_A=0.06837474207515323, chi=-1
depth=9, S_A=0.09652793055106965, chi=-1
depth=10, S_A=0.12136067717032203, chi=-1
depth=11, S_A=0.07309038279945891, chi=-1
depth=12, S_A=0.07246915580472112, chi=-1
depth=13, S_A=0.1282182032602393, chi=-1
depth=14, S_A=0.19951801501239083, chi=-1
depth=15, S_A=0.11710025612594432, chi=-1
depth=16, S_A=0.1286725064621171, chi=-1
depth=17, S_A=0.2213469283088262, chi=-1
depth=18, S_A=0.24377068671149577, chi=-1
depth=19, S_A=0.12666109526316421, chi=-1
depth=20, S_A=0.11562521968064293, chi=-1
depth=21, S_A=0.08030314036457903, chi=-1
depth=22, S_A=0.05427111641879442, chi=-1
depth=23, S_A=0.04749367373400066, chi=-1
depth=24, S_A=0.0761393726440235, chi=-1
depth=25, S_A=0.1528802585744097, chi=-1
depth=26, S_A=0.1479699329500874, chi=-1
depth=27, S_A=0.13268377001374324, chi=-1
depth=28, S_A=0.20435794740507665, chi=-1
depth=29, S_A=0.20165681490475063, chi=-1
depth=30, S_A=0.09013096798485377, chi=-1
