depth=1, S_A=6.4068530076298215e-15, chi=-1
depth=2, S_A=0.010126097538101944, chi=-1
depth=3, S_A=0.07856389766009217, chi=-1
depth=4, S_A=0.1724067560422314, chi=-1
depth=5, S_A=0.22087484119488604, chi=-1
depth=6, S_A=0.2353976014785672, chi=-1
depth=7, S_A=0.24738574829234303, chi=-1
depth=8, S_A=0.244619286477511, chi=-1
depth=9, S_A=0.2058579045951925, chi=-1
depth=10, S_A=0.16537919123577782, chi=-1
depth=11, S_A=0.16828334525404887, chi=-1
depth=12, S_A=0.1807410713132203, chi=-1
depth=13, S_A=0.1831314228919848, chi=-1
depth=14, S_A=0.19294479669156728, chi=-1
depth=15, S_A=0.222884766485707, chi=-1
depth=16, S_A=0.24176256527978235, chi=-1
depth=17, S_A=0.23449935411654457, chi=-1
depth=18, S_A=0.2284113953426079, chi=-1
depth=19, S_A=0.2292102860706957, chi=-1
depth=20, S_A=0.20351523192615867, chi=-1
depth=21, S_A=0.157531226203262, chi=-1
depth=22, S_A=0.17622654185731076, chi=-1
depth=23, S_A=0.21899765228216486, chi=-1
depth=24, S_A=0.228317620354833, chi=-1
depth=25, S_A=0.23319466399973723, chi=-1
depth=26, S_A=0.2466409437241244, chi=-1
depth=27, S_A=0.24951902362714515, chi=-1
depth=28, S_A=0.23269339730930144, chi=-1
depth=29, S_A=0.2176429919696168, chi=-1
depth=30, S_A=0.21487843893234915, chi=-1
depth=31, S_A=0.21476754544007343, chi=-1
depth=32, S_A=0.19426710852116075, chi=-1
depth=33, S_A=0.19060589346489473, chi=-1
depth=34, S_A=0.24883877705845966, chi=-1
depth=35, S_A=0.29065339731604306, chi=-1
depth=36, S_A=0.2952821988788524, chi=-1
depth=37, S_A=0.2974413930452214, chi=-1
depth=38, S_A=0.2879942493214092, chi=-1
depth=39, S_A=0.2441388767631187, chi=-1
depth=40, S_A=0.2029167521378322, chi=-1
depth=41, S_A=0.19421938332042082, chi=-1
depth=42, S_A=0.19463650818481665, chi=-1
depth=43, S_A=0.192335123107466, chi=-1
depth=44, S_A=0.19643070405577728, chi=-1
depth=45, S_A=0.2462344099104799, chi=-1
depth=46, S_A=0.295321446489642, chi=-1
depth=47, S_A=0.3019311773076256, chi=-1
depth=48, S_A=0.3013576903885608, chi=-1
depth=49, S_A=0.31354263499168844, chi=-1
depth=50, S_A=0.3008492921385148, chi=-1
