depth=1, S_A=-8.328908909918809e-15, chi=-1
depth=2, S_A=0.4640379399142673, chi=-1
depth=3, S_A=1.0078127581154421, chi=-1
depth=4, S_A=1.1110291029096608, chi=-1
depth=5, S_A=1.4169143261547001, chi=-1
depth=6, S_A=1.4612143683139338, chi=-1
depth=7, S_A=1.5801523308792635, chi=-1
depth=8, S_A=1.6132476109564435, chi=-1
depth=9, S_A=1.7701348129047356, chi=-1
depth=10, S_A=1.8095872767862498, chi=-1
depth=11, S_A=1.8891032394918876, chi=-1
depth=12, S_A=1.9500336494953656, chi=-1
depth=13, S_A=2.0221934136746516, chi=-1
depth=14, S_A=2.105834528022804, chi=-1
depth=15, S_A=2.252631140425609, chi=-1
depth=16, S_A=2.437018707020302, chi=-1
depth=17, S_A=2.5823545264542034, chi=-1
depth=18, S_A=2.648914785750834, chi=-1
depth=19, S_A=2.7346025648333216, chi=-1
depth=20, S_A=2.794912193515456, chi=-1
depth=21, S_A=2.7726321068047852, chi=-1
depth=22, S_A=2.758868317668549, chi=-1
depth=23, S_A=2.8196548992292954, chi=-1
depth=24, S_A=2.885747554009773, chi=-1
depth=25, S_A=2.989690822653256, chi=-1
depth=26, S_A=3.081952978783537, chi=-1
depth=27, S_A=3.128886575378713, chi=-1
depth=28, S_A=3.1516096217031793, chi=-1
depth=29, S_A=3.231711923246432, chi=-1
depth=30, S_A=3.238103552858565, chi=-1
