depth=1, S_A=-6.406853007629837e-16, chi=-1
depth=2, S_A=0.6584357294545009, chi=-1
depth=3, S_A=1.0509522454746247, chi=-1
depth=4, S_A=1.5057838101537022, chi=-1
depth=5, S_A=1.7421667256364266, chi=-1
depth=6, S_A=2.211234717199366, chi=-1
depth=7, S_A=2.541283466839412, chi=-1
depth=8, S_A=2.7977299076031663, chi=-1
depth=9, S_A=3.0965062541162265, chi=-1
depth=10, S_A=3.3244511135546495, chi=-1
depth=11, S_A=3.502533052224011, chi=-1
depth=12, S_A=3.6389831696890127, chi=-1
depth=13, S_A=3.730865267776905, chi=-1
depth=14, S_A=3.8815245442709596, chi=-1
depth=15, S_A=4.018107888874537, chi=-1
depth=16, S_A=4.0561633308287, chi=-1
depth=17, S_A=4.082124406795078, chi=-1
depth=18, S_A=4.114764970777184, chi=-1
depth=19, S_A=4.129416431375222, chi=-1
depth=20, S_A=4.173874499250856, chi=-1
depth=21, S_A=4.210494316737357, chi=-1
depth=22, S_A=4.194925660086405, chi=-1
depth=23, S_A=4.210427411736289, chi=-1
depth=24, S_A=4.260061452751994, chi=-1
depth=25, S_A=4.317634830560825, chi=-1
depth=26, S_A=4.268520084755821, chi=-1
depth=27, S_A=4.303108669946591, chi=-1
depth=28, S_A=4.267567482649088, chi=-1
depth=29, S_A=4.236364434280296, chi=-1
depth=30, S_A=4.257060529686178, chi=-1
