depth=1, S_A=6.406853007629834e-16, chi=-1
depth=2, S_A=0.6584357294544978, chi=-1
depth=3, S_A=1.1840709881592684, chi=-1
depth=4, S_A=1.8029203479654319, chi=-1
depth=5, S_A=2.448220537292838, chi=-1
depth=6, S_A=3.0473003753513277, chi=-1
depth=7, S_A=3.2201100792992987, chi=-1
depth=8, S_A=3.0028572942934715, chi=-1
depth=9, S_A=2.4505291964885134, chi=-1
depth=10, S_A=1.8705845491742046, chi=-1
depth=11, S_A=1.4001218393928712, chi=-1
depth=12, S_A=1.3436113375884917, chi=-1
depth=13, S_A=1.5601075009451684, chi=-1
depth=14, S_A=2.0835978881415183, chi=-1
depth=15, S_A=2.7042813070070126, chi=-1
depth=16, S_A=3.0162401231085467, chi=-1
depth=17, S_A=3.310793386458633, chi=-1
depth=18, S_A=3.0537510016323903, chi=-1
depth=19, S_A=2.477528875553162, chi=-1
depth=20, S_A=2.0322914706565673, chi=-1
depth=21, S_A=1.3876178521803502, chi=-1
depth=22, S_A=0.8897117888803232, chi=-1
depth=23, S_A=0.8466606535466319, chi=-1
depth=24, S_A=0.9854787830951286, chi=-1
depth=25, S_A=1.4319786176576668, chi=-1
depth=26, S_A=1.8689196562501476, chi=-1
depth=27, S_A=2.3169303869179636, chi=-1
depth=28, S_A=2.8529265256560175, chi=-1
depth=29, S_A=2.8574099658715286, chi=-1
depth=30, S_A=2.789370311045073, chi=-1
