depth=1, S_A=-2.883083853433429e-15, chi=-1
depth=2, S_A=0.6584357294545015, chi=-1
depth=3, S_A=1.120754030866445, chi=-1
depth=4, S_A=1.6762208565441925, chi=-1
depth=5, S_A=2.293623176827331, chi=-1
depth=6, S_A=2.8696207717528104, chi=-1
depth=7, S_A=3.1908766141808695, chi=-1
depth=8, S_A=3.3140138819845113, chi=-1
depth=9, S_A=3.1463634979248103, chi=-1
depth=10, S_A=2.9024499624446083, chi=-1
depth=11, S_A=2.7574576260293973, chi=-1
depth=12, S_A=2.6943367829872806, chi=-1
depth=13, S_A=2.8135916497086306, chi=-1
depth=14, S_A=3.1120936756162454, chi=-1
depth=15, S_A=3.2944004655566754, chi=-1
depth=16, S_A=3.5497746502773055, chi=-1
depth=17, S_A=3.724009083047404, chi=-1
depth=18, S_A=3.7852404209181905, chi=-1
depth=19, S_A=3.830832249258791, chi=-1
depth=20, S_A=3.7469858023138425, chi=-1
depth=21, S_A=3.630081288825129, chi=-1
depth=22, S_A=3.5083474908292898, chi=-1
depth=23, S_A=3.4466423719056505, chi=-1
depth=24, S_A=3.5344137114938836, chi=-1
depth=25, S_A=3.6046089649855544, chi=-1
depth=26, S_A=3.740192444288641, chi=-1
depth=27, S_A=3.8445767970727083, chi=-1
depth=28, S_A=3.8871499117332533, chi=-1
depth=29, S_A=3.8561274662441614, chi=-1
depth=30, S_A=3.886260536789664, chi=-1
