depth=1, S_A=-5.125482406103878e-15, chi=-1
depth=2, S_A=0.5288643610650128, chi=-1
depth=3, S_A=1.0088220612104437, chi=-1
depth=4, S_A=1.6024624479340381, chi=-1
depth=5, S_A=2.1380571246813083, chi=-1
depth=6, S_A=2.2935366757926197, chi=-1
depth=7, S_A=2.1610878200501844, chi=-1
depth=8, S_A=1.6169206405357497, chi=-1
depth=9, S_A=1.2246480538431161, chi=-1
depth=10, S_A=1.103614098193067, chi=-1
depth=11, S_A=1.1118147769175832, chi=-1
depth=12, S_A=1.7778515709028333, chi=-1
depth=13, S_A=2.033215733706765, chi=-1
depth=14, S_A=2.4090613267383634, chi=-1
depth=15, S_A=2.252311571781444, chi=-1
